id,cd,party,total
0,"Trump, Donald",0,587754
1,"RNC",0,289597
2,"Biden, Joe",1,184907
3,"Sanders, Bernie",2,103233
4,National Republican Congressional Cmte,0,63445
5,Mijente PAC,3,60000
6,National Republican Senatorial Cmte,0,58520
7,"Buttigieg, Pete",1,51911
8,"Warren, Elizabeth",1,40098
9,DNC Services Corp,1,34378
10,"Yang, Andrew",1,28992
11,Democratic Congressional Campaign Cmte,1,26922
12,"Harris, Kamala",1,23769
13,Democratic Senatorial Campaign Cmte,1,23181
14,"Gabbard, Tulsi",1,19309
15,National Rifle Assn,3,18701
16,"Klobuchar, Amy",1,17535
17,"Scalise, Steve",0,14061
18,"McGrath, Amy",1,12808
19,"Republican Party of Florida",0,12505